,percentage,pks+island,pid,type,percentage2
C537_Z1_B1_D1,5.95253228724695e-09,No,C537,cancer,0.0
C538_A1_G10_D1,2.893575835963934e-07,Yes,C538,cancer,2.893575835963934e-07
C538_B1_G10_D1,2.793368331477174e-05,Yes,C538,cancer,2.793368331477174e-05
C538_B1_G8_D1,1.1090069141563548e-05,Yes,C538,cancer,1.1090069141563548e-05
C538_B1_G9_D1,5.5361874942195825e-06,Yes,C538,cancer,5.5361874942195825e-06
C538_C1_G10_D1,1.0571530543843776e-06,Yes,C538,cancer,1.0571530543843776e-06
C538_C1_G2_D1,8.819229819438758e-07,Yes,C538,cancer,8.819229819438758e-07
C538_C1_G3_D1,8.9378268732205e-07,No,C538,cancer,0.0
C538_D1_G10_D1,3.790019619728923e-06,Yes,C538,cancer,3.790019619728923e-06
C538_D1_G4_D1,1.138845508546703e-06,Yes,C538,cancer,1.138845508546703e-06
C538_D1_G8_D1,3.0727364895083506e-06,Yes,C538,cancer,3.0727364895083506e-06
C538_E1_B1_D1,4.627289499259744e-08,No,C538,distant normal,0.0
C539_A1_G5_D1,2.6394475492689512e-05,Yes,C539,cancer,2.6394475492689512e-05
C539_A1_G7_D1,1.4341220719054664e-05,Yes,C539,cancer,1.4341220719054664e-05
C539_A1_G8_D1,1.1498568014934925e-05,Yes,C539,cancer,1.1498568014934925e-05
C539_B1_G1_D1,1.9426191160676264e-05,Yes,C539,cancer,1.9426191160676264e-05
C539_B1_G3_D1,3.91156145535003e-05,Yes,C539,cancer,3.91156145535003e-05
C539_B1_G6_D1,0.00010091782008009851,Yes,C539,cancer,0.00010091782008009851
C539_B1_G8_D1,8.380956844286375e-06,Yes,C539,cancer,8.380956844286375e-06
C539_C1_G1_D1,0.00115794642195545,Yes,C539,cancer,0.00115794642195545
C539_C1_G3_D1,0.0003340403102246879,Yes,C539,cancer,0.0003340403102246879
C539_D1_G10_D1,1.4571734736536767e-05,Yes,C539,cancer,1.4571734736536767e-05
C539_D1_G3_D1,6.233761614717646e-05,Yes,C539,cancer,6.233761614717646e-05
C539_D1_G4_D1,1.2809790289723786e-05,Yes,C539,cancer,1.2809790289723786e-05
C539_D1_G8_D1,6.259355853146761e-06,Yes,C539,cancer,6.259355853146761e-06
C539_D1_G9_D1,5.3029133135130175e-05,Yes,C539,cancer,5.3029133135130175e-05
C539_E1_B1_D1,1.5040229976018557e-06,Yes,C539,distant normal,1.5040229976018557e-06
C542_A1_G1_D1,6.0892018423955835e-05,Yes,C542,cancer,6.0892018423955835e-05
C542_A1_G4_D1,2.746994344890477e-06,No,C542,cancer,0.0
C542_B1_G1_D1,0.00023370643063775587,No,C542,cancer,0.0
C542_B1_G4_D1,0.0002249222367149922,Yes,C542,cancer,0.0002249222367149922
C542_B1_G6_D1,0.0007464194695247794,Yes,C542,cancer,0.0007464194695247794
C542_B1_G7_D1,8.321491786084844e-05,No,C542,cancer,0.0
C542_C1_G2_D1,6.899571561118035e-05,Yes,C542,cancer,6.899571561118035e-05
C542_C1_G5_D1,4.188814831317944e-05,No,C542,cancer,0.0
C542_C1_G7_D1,6.279321331902921e-05,Yes,C542,cancer,6.279321331902921e-05
C542_D1_G3_D1,0.00023174013003105306,Yes,C542,cancer,0.00023174013003105306
C542_D1_G8_D1,2.4866109458732702e-05,No,C542,cancer,0.0
C542_E1_B1_D1,7.772643979469727e-06,Yes,C542,distant normal,7.772643979469727e-06
C542_Z1_B1_D1,4.682861493277102e-06,Yes,C542,cancer,4.682861493277102e-06
C543_A1_G10_D1,1.3894434016572302e-07,No,C543,adjacent normal,0.0
C543_A1_G1_D1,4.052715202770751e-07,No,C543,cancer,0.0
C543_A1_G2_D1,1.2419615290533561e-06,No,C543,adjacent normal,0.0
C543_A1_G7_D1,1.2328070306172424e-06,No,C543,cancer,0.0
C543_B1_G10_D1,1.6288429985456743e-07,No,C543,cancer,0.0
C543_B1_G1_D1,1.2075510149815354e-07,No,C543,cancer,0.0
C543_B1_G2_D1,1.877425367305095e-07,No,C543,cancer,0.0
C543_B1_G5_D1,3.190606544818098e-07,No,C543,cancer,0.0
C543_C1_G1_D1,1.5190126037775888e-07,No,C543,adjacent normal,0.0
C543_C1_G8_D1,3.5692956765750464e-07,No,C543,adjacent normal,0.0
