,SPS1,SPS2,SPS3,SPS4,SPS5,SPS6,SPS7,Pid
C544_E1_G1_D1,0.40872210953346855,0.10953346855983773,0.19371196754563894,0.060851926977687626,0.033468559837728194,0.0821501014198783,0.11156186612576065,C544
C544_E1_G3_D1,0.38857142857142857,0.17333333333333334,0.0,0.10095238095238095,0.09142857142857143,0.06285714285714286,0.18285714285714286,C544
C547_A1_G4_D1,0.5483091787439613,0.0,0.02608695652173913,0.0004830917874396135,0.004347826086956522,0.012560386473429951,0.4082125603864734,C547
C547_B1_G2_D1,0.5256410256410257,0.0,0.014194139194139194,0.0,0.011446886446886446,0.033424908424908424,0.4152930402930403,C547
C547_B1_G3_D1,0.5877390326209224,0.00562429696287964,0.013498312710911136,0.0,0.0011248593925759281,0.05568053993250844,0.3363329583802025,C547
C547_B1_G4_D1,0.45875163683980796,0.06198166739415103,0.0,0.22959406372762986,0.0,0.10388476647752073,0.14578786556089043,C547
C547_C1_G7_D1,0.44587773415591697,0.0,0.11441390914189568,0.01682557487380819,0.011217049915872126,0.03813796971396523,0.3735277621985418,C547
C547_D1_G6_D1,0.5350920856147336,0.0,0.07964161274265803,0.0,0.0,0.0,0.3852663016426083,C547
C547_D1_G8_D1,0.5169913910285455,0.0,0.14363389216130493,0.0,0.004531037607612143,0.0,0.3348436792025374,C547
C547_E1_G1_D1,0.5962314939434724,0.0,0.10565275908479138,0.0,0.018842530282637954,0.0033647375504710633,0.2759084791386272,C547
C548_E1_B1_D1,0.2660857908847185,0.003351206434316354,0.0,0.06568364611260054,0.01943699731903485,0.5502680965147453,0.09517426273458444,C548
C549_A1_G2_D1,0.9340823970037453,0.00749063670411985,0.0,0.0,0.0,0.058426966292134834,0.0,C549
C549_A1_G8_D1,0.9715596330275229,0.0,0.028440366972477066,0.0,0.0,0.0,0.0,C549
C549_C1_G4_D1,0.8452088452088452,0.0,0.05036855036855037,0.0,0.0,0.10442260442260443,0.0,C549
C549_C1_G8_D1,0.9147135416666666,0.0,0.0,0.0,0.00390625,0.08138020833333333,0.0,C549
C550_A1_G2_D1,0.6487935656836461,0.0,0.11997319034852547,0.0,0.08310991957104558,0.0,0.14812332439678283,C550
C550_B1_G2_D1,0.6139263580021874,0.009478672985781991,0.15092963908129786,0.0025519504192489974,0.05942398833394094,0.01859278162595698,0.14509660955158585,C550
C550_B1_G3_D1,0.6576433121019108,0.012340764331210192,0.12699044585987262,0.0003980891719745223,0.052547770700636945,0.015127388535031847,0.13495222929936307,C550
C550_C1_G3_D1,0.6119459053343351,0.0,0.14124718256949662,0.0,0.04695717505634861,0.0,0.19984973703981967,C550
C550_C1_G4_D1,0.5059616381544841,0.0,0.17055469155002592,0.0010368066355624676,0.049766718506998445,0.0,0.272680145152929,C550
C550_D1_G2_D1,0.7281090289608178,0.0034071550255536627,0.12947189097103917,0.00034071550255536625,0.020442930153321975,0.0,0.1182282793867121,C550
C550_D1_G5_D1,0.6609848484848485,0.01167929292929293,0.09943181818181818,0.0006313131313131314,0.026515151515151516,0.0,0.20075757575757575,C550
C551_D1_G5_D1,0.7288220551378446,0.0,0.19348370927318295,0.0,0.0015037593984962407,0.009523809523809525,0.06666666666666667,C551
C552_A1_G1_D1,0.722799511002445,0.0617359413202934,0.08557457212713937,0.0,0.08221271393643031,0.04767726161369193,0.0,C552
C552_B1_G10_D1,0.46451471474762973,0.0,0.0,0.0655450210993588,0.010467474105332383,0.45947279004767905,0.0,C552
C552_B1_G8_D1,0.7411612066169315,0.03795004865390853,0.07849497242945183,0.0,0.07071034706454751,0.07168342523516055,0.0,C552
C552_B1_G9_D1,0.8418393127842345,0.023749368367862556,0.09044972208185953,0.003031834259727135,0.0,0.040929762506316324,0.0,C552
C552_C1_G1_D1,0.746110765401369,0.06627255756067206,0.06938394523957685,0.0,0.06782825140012445,0.05040448039825762,0.0,C552
C552_C1_G8_D1,0.8347134812851937,0.028155018217952965,0.04372308711493872,0.0,0.047035442199403775,0.04637297118251076,0.0,C552
C552_E1_G3_D1,0.7904468412942989,0.04314329738058552,0.011556240369799691,0.022727272727272728,0.062403697996918334,0.06972265023112481,0.0,C552
C555_B1_G10_D1,0.9896729776247849,0.0,0.0,0.0,0.0068846815834767644,0.0034423407917383822,0.0,C555
C555_C1_G1_D1,0.9674054758800521,0.022598870056497175,0.0047805302042590175,0.003042155584528466,0.0,0.0021729682746631897,0.0,C555
C555_C1_G7_D1,0.9055464030752334,0.01757276221856123,0.013179571663920923,0.0,0.003844041735310269,0.05985722130697419,0.0,C555
C555_C1_G9_D1,0.9774119448698315,0.006891271056661562,0.0,0.0,0.005742725880551302,0.009954058192955589,0.0,C555
C560_A1_G8_D1,0.7704735376044568,0.003342618384401114,0.2128133704735376,0.0011142061281337048,0.012256267409470752,0.0,0.0,C560
C560_D1_G5_D1,0.7893315327481432,0.0,0.12829169480081026,0.0,0.004051316677920324,0.05266711681296422,0.025658338960162053,C560
C560_D1_G9_D1,0.782258064516129,0.0,0.18982630272952852,0.0,0.00620347394540943,0.021712158808933003,0.0,C560
C562_B1_G3_D1,0.8005855562784645,0.010084580351333767,0.13532856213402733,0.0,0.013337670787247886,0.04066363044892648,0.0,C562
C562_B1_G4_D1,0.8129661503155479,0.021227768215720023,0.1029833620195066,0.0,0.010327022375215147,0.05249569707401033,0.0,C562
C562_C1_G6_D1,0.8912043301759134,0.0,0.1087956698240866,0.0,0.0,0.0,0.0,C562
C562_D1_G2_D1,0.8066400245926837,0.016292652935751613,0.17399323701198893,0.0,0.003074085459575776,0.0,0.0,C562
C562_E1_G2_D1,0.847887323943662,0.011267605633802818,0.0812206572769953,0.002347417840375587,0.011737089201877934,0.045539906103286384,0.0,C562
C516_A1_G1_D1,0.34299999999999997,0.0,0.059000000000000004,0.004,0.012,0.5660000000000001,0.016,C516
C516_B1_G7_D1,0.335,0.0,0.067,0.005,0.013000000000000001,0.561,0.019,C516
C516_B3_B1_D1,0.341,0.0,0.061,0.005,0.012,0.564,0.017,C516
C516_B3_G9_D1,0.34299999999999997,0.0,0.057,0.005,0.012,0.565,0.018000000000000002,C516
C516_C1_G3_D1,0.455,0.0,0.0,0.0,0.001,0.544,0.0,C516
C516_C1_G8_D1,0.455,0.0,0.0,0.0,0.001,0.545,0.0,C516
C516_D1_G5_D1,0.455,0.0,0.0,0.0,0.001,0.544,0.0,C516
C518_A1_G4_D1,0.247,0.0,0.127,0.018000000000000002,0.023,0.557,0.027999999999999997,C518
C518_A1_G6_D1,0.23800000000000002,0.0,0.132,0.018000000000000002,0.025,0.5579999999999999,0.028999999999999998,C518
C518_B1_G6_D1,0.25,0.0,0.13,0.023,0.024,0.547,0.026000000000000002,C518
C518_B1_G8_D1,0.266,0.0,0.11900000000000001,0.016,0.023,0.55,0.025,C518
