,SPS,Percentage,source
C530_D1_G10_D1,SPS7,0.099,EPICC Cancer
C530_D1_G2_D1,SPS7,0.095,EPICC Cancer
C530_D1_G5_D1,SPS7,0.10300000000000001,EPICC Cancer
C531_A1_G10_D1,SPS7,0.14,EPICC Cancer
C531_A1_G7_D1,SPS7,0.142,EPICC Cancer
C531_B1_G3_D1,SPS7,0.125,EPICC Cancer
C531_B1_G5_D1,SPS7,0.129,EPICC Cancer
C531_B1_G8_D1,SPS7,0.13,EPICC Cancer
C531_C1_G1_D1,SPS7,0.14,EPICC Cancer
C531_C1_G2_D1,SPS7,0.141,EPICC Cancer
C531_C1_G4_D1,SPS7,0.14,EPICC Cancer
C531_C1_G7_D1,SPS7,0.141,EPICC Cancer
C537_A1_G1_D1,SPS7,0.17600000000000002,EPICC Cancer
C537_A1_G10_D1,SPS7,0.18100000000000002,EPICC Cancer
C537_B1_G7_D1,SPS7,0.196,EPICC Cancer
C537_C1_G1_D1,SPS7,0.19899999999999998,EPICC Cancer
C537_C1_G10_D1,SPS7,0.204,EPICC Cancer
C537_C1_G5_D1,SPS7,0.19699999999999998,EPICC Cancer
C537_D1_G1_D1,SPS7,0.205,EPICC Cancer
C543_A1_G1_D1,SPS7,0.09300000000000001,EPICC Cancer
C543_A1_G7_D1,SPS7,0.096,EPICC Cancer
C543_B1_G1_D1,SPS7,0.08199999999999999,EPICC Cancer
C543_B1_G10_D1,SPS7,0.085,EPICC Cancer
C543_B1_G2_D1,SPS7,0.094,EPICC Cancer
C543_B1_G5_D1,SPS7,0.086,EPICC Cancer
C544_A1_G1_D1,SPS7,0.138,EPICC Cancer
C544_A1_G4_D1,SPS7,0.147,EPICC Cancer
C544_A1_G8_D1,SPS7,0.14,EPICC Cancer
C544_C1_G10_D1,SPS7,0.136,EPICC Cancer
C544_D1_G3_D1,SPS7,0.146,EPICC Cancer
C544_D1_G8_D1,SPS7,0.187,EPICC Cancer
C547_A4_L1_D1,SPS7,0.055,EPICC Cancer
C547_B3_L1_D1,SPS7,0.11,EPICC Cancer
C547_C3_L1_D1,SPS7,0.06,EPICC Cancer
C549_A1_G4_D1,SPS7,0.0,EPICC Cancer
