,SPS,Percentage,source
2211,SPS7,0.10623754099999999,Cancer subclonal
2218,SPS7,0.14123944900000002,Cancer clonal
2225,SPS7,0.09376174599999999,Cancer subclonal
2232,SPS7,0.13659811300000002,Cancer clonal
2239,SPS7,0.09802241099999999,Cancer subclonal
2246,SPS7,0.14343909400000002,Cancer clonal
2253,SPS7,0.117450691,Cancer subclonal
2260,SPS7,0.16878726100000002,Cancer clonal
2267,SPS7,0.069955356,Cancer subclonal
2274,SPS7,0.156395848,Cancer clonal
2281,SPS7,0.258177582,Cancer subclonal
2288,SPS7,0.172024996,Cancer clonal
2295,SPS7,0.138067481,Cancer subclonal
2302,SPS7,0.044035657,Cancer clonal
2309,SPS7,0.070415708,Cancer subclonal
2316,SPS7,0.047450716,Cancer clonal
2323,SPS7,0.05751086,Cancer subclonal
2330,SPS7,0.03212986,Cancer clonal
2337,SPS7,0.082260865,Cancer subclonal
2344,SPS7,0.187608313,Cancer clonal
2351,SPS7,0.23983818899999998,Cancer subclonal
2358,SPS7,0.105645987,Cancer clonal
2365,SPS7,0.006737906,Cancer subclonal
2372,SPS7,0.107518505,Cancer clonal
2379,SPS7,0.004710328,Cancer subclonal
2386,SPS7,0.10881955300000001,Cancer clonal
2393,SPS7,0.004756365,Cancer subclonal
2400,SPS7,0.108870003,Cancer clonal
2407,SPS7,0.002631327,Cancer subclonal
2414,SPS7,0.111797076,Cancer clonal
2421,SPS7,0.004009094,Cancer subclonal
2428,SPS7,0.093841139,Cancer clonal
2435,SPS7,0.004637774,Cancer subclonal
2442,SPS7,0.093193611,Cancer clonal
2449,SPS7,0.0027625320000000003,Cancer subclonal
2456,SPS7,0.08399105,Cancer clonal
2463,SPS7,0.002396257,Cancer subclonal
2470,SPS7,0.0,Cancer clonal
2477,SPS7,0.0,Cancer subclonal
2484,SPS7,0.0,Cancer clonal
2491,SPS7,0.0,Cancer subclonal
2498,SPS7,0.0,Cancer clonal
2505,SPS7,0.00311629,Cancer subclonal
2512,SPS7,0.0,Cancer clonal
2519,SPS7,0.0,Cancer subclonal
2526,SPS7,0.0,Cancer clonal
2533,SPS7,0.0,Cancer subclonal
2540,SPS7,0.0,Cancer clonal
2547,SPS7,0.0,Cancer subclonal
2554,SPS7,0.0,Cancer clonal
2561,SPS7,0.0,Cancer subclonal
2568,SPS7,0.007969419,Cancer clonal
2575,SPS7,0.010431583000000001,Cancer subclonal
2582,SPS7,0.166122025,Cancer clonal
2589,SPS7,0.196232357,Cancer subclonal
2596,SPS7,0.18510260899999997,Cancer clonal
2603,SPS7,0.187480062,Cancer subclonal
2610,SPS7,0.18244839300000001,Cancer clonal
2617,SPS7,0.21398305399999998,Cancer subclonal
2624,SPS7,0.173198978,Cancer clonal
2631,SPS7,0.18730461399999998,Cancer subclonal
2638,SPS7,0.183282269,Cancer clonal
2645,SPS7,0.248698914,Cancer subclonal
2652,SPS7,0.17097602,Cancer clonal
2659,SPS7,0.182756172,Cancer subclonal
2666,SPS7,0.20093655800000002,Cancer clonal
2673,SPS7,0.137370789,Cancer subclonal
2680,SPS7,0.16194023400000002,Cancer clonal
2687,SPS7,0.169574256,Cancer subclonal
2694,SPS7,0.181229583,Cancer clonal
2701,SPS7,0.167204424,Cancer subclonal
2708,SPS7,0.191299821,Cancer clonal
2715,SPS7,0.192050671,Cancer subclonal
2722,SPS7,0.189643985,Cancer clonal
2729,SPS7,0.18559690199999998,Cancer subclonal
2736,SPS7,0.197115835,Cancer clonal
2743,SPS7,0.13988220699999998,Cancer subclonal
2750,SPS7,0.197526602,Cancer clonal
2757,SPS7,0.165891178,Cancer subclonal
2764,SPS7,0.18895894300000002,Cancer clonal
2771,SPS7,0.166681005,Cancer subclonal
2778,SPS7,0.200059508,Cancer clonal
2785,SPS7,0.162612026,Cancer subclonal
2792,SPS7,0.194755807,Cancer clonal
2799,SPS7,0.170754577,Cancer subclonal
2806,SPS7,0.17810397100000003,Cancer clonal
2813,SPS7,0.163113054,Cancer subclonal
2820,SPS7,0.182727366,Cancer clonal
2827,SPS7,0.165321523,Cancer subclonal
2834,SPS7,0.067189798,Cancer clonal
2841,SPS7,0.018291683,Cancer subclonal
2848,SPS7,0.089578006,Cancer clonal
2855,SPS7,0.030649262000000004,Cancer subclonal
2862,SPS7,0.0,Cancer clonal
2869,SPS7,0.0,Cancer subclonal
2876,SPS7,0.0,Cancer clonal
2883,SPS7,0.0,Cancer subclonal
2890,SPS7,0.0,Cancer clonal
2897,SPS7,0.0,Cancer subclonal
2904,SPS7,0.0,Cancer clonal
2911,SPS7,0.0,Cancer subclonal
2918,SPS7,0.06745176900000001,Cancer clonal
2925,SPS7,0.0,Cancer subclonal
2932,SPS7,0.08647140699999999,Cancer clonal
2939,SPS7,0.08610453800000001,Cancer subclonal
2946,SPS7,0.08240732,Cancer clonal
2953,SPS7,0.097311858,Cancer subclonal
2960,SPS7,0.0721883,Cancer clonal
2967,SPS7,0.068304111,Cancer subclonal
2974,SPS7,0.080134916,Cancer clonal
2981,SPS7,0.076887631,Cancer subclonal
2988,SPS7,0.086512554,Cancer clonal
2995,SPS7,0.073002462,Cancer subclonal
3002,SPS7,0.087031563,Cancer clonal
3009,SPS7,0.07124974,Cancer subclonal
3016,SPS7,0.08992536699999999,Cancer clonal
3023,SPS7,0.071081206,Cancer subclonal
3030,SPS7,0.09265557199999999,Cancer clonal
3037,SPS7,0.065485467,Cancer subclonal
3044,SPS7,0.081951316,Cancer clonal
3051,SPS7,0.071038716,Cancer subclonal
3058,SPS7,0.09419368800000001,Cancer clonal
3065,SPS7,0.069979558,Cancer subclonal
3072,SPS7,0.0,Cancer clonal
3079,SPS7,0.0,Cancer subclonal
3086,SPS7,0.0,Cancer clonal
3093,SPS7,0.0,Cancer subclonal
3100,SPS7,0.0,Cancer clonal
3107,SPS7,0.0,Cancer subclonal
3114,SPS7,0.0,Cancer clonal
3121,SPS7,0.0,Cancer subclonal
3128,SPS7,0.0,Cancer clonal
3135,SPS7,0.0,Cancer subclonal
3142,SPS7,0.0,Cancer clonal
3149,SPS7,0.0,Cancer subclonal
3156,SPS7,0.0,Cancer clonal
3163,SPS7,0.0,Cancer subclonal
3170,SPS7,0.0,Cancer clonal
3177,SPS7,0.0,Cancer subclonal
3184,SPS7,0.05025319,Cancer clonal
3191,SPS7,0.054364094,Cancer subclonal
3198,SPS7,0.049069655999999996,Cancer clonal
3205,SPS7,0.055798985999999995,Cancer subclonal
3212,SPS7,0.05513382,Cancer clonal
3219,SPS7,0.054589955,Cancer subclonal
3226,SPS7,0.070495059,Cancer clonal
3233,SPS7,0.050858859000000006,Cancer subclonal
3240,SPS7,0.066113037,Cancer clonal
3247,SPS7,0.051354889,Cancer subclonal
3254,SPS7,0.05060683,Cancer clonal
3261,SPS7,0.043050607000000005,Cancer subclonal
3268,SPS7,0.050966198,Cancer clonal
3275,SPS7,0.047203465,Cancer subclonal
3282,SPS7,0.042035137,Cancer clonal
3289,SPS7,0.044295944000000004,Cancer subclonal
3296,SPS7,0.049719578,Cancer clonal
3303,SPS7,0.054740777000000004,Cancer subclonal
3310,SPS7,0.055381763,Cancer clonal
3317,SPS7,0.055369497999999996,Cancer subclonal
3324,SPS7,0.057177741,Cancer clonal
3331,SPS7,0.044003562999999996,Cancer subclonal
3338,SPS7,0.07039571900000001,Cancer clonal
3345,SPS7,0.058667282,Cancer subclonal
3352,SPS7,0.06457513599999999,Cancer clonal
3359,SPS7,0.061580034000000006,Cancer subclonal
3366,SPS7,0.021519637999999997,Cancer clonal
3373,SPS7,0.063556456,Cancer subclonal
3380,SPS7,0.046712952,Cancer clonal
3387,SPS7,0.056215422,Cancer subclonal
3394,SPS7,0.041366147,Cancer clonal
3401,SPS7,0.070207249,Cancer subclonal
3408,SPS7,0.044037824,Cancer clonal
3415,SPS7,0.064500353,Cancer subclonal
3422,SPS7,0.133209714,Cancer clonal
3429,SPS7,0.173793895,Cancer subclonal
3436,SPS7,0.132432196,Cancer clonal
3443,SPS7,0.19492388,Cancer subclonal
3450,SPS7,0.10005210199999999,Cancer clonal
3457,SPS7,0.133213768,Cancer subclonal
3464,SPS7,0.10601408,Cancer clonal
3471,SPS7,0.126544745,Cancer subclonal
3478,SPS7,0.107401825,Cancer clonal
3485,SPS7,0.13063409,Cancer subclonal
3492,SPS7,0.125188316,Cancer clonal
3499,SPS7,0.182183808,Cancer subclonal
3506,SPS7,0.113562792,Cancer clonal
3513,SPS7,0.182510968,Cancer subclonal
3520,SPS7,0.129426443,Cancer clonal
3527,SPS7,0.178383915,Cancer subclonal
3534,SPS7,0.128964356,Cancer clonal
3541,SPS7,0.149455968,Cancer subclonal
3548,SPS7,0.133058818,Cancer clonal
3555,SPS7,0.14871496,Cancer subclonal
3562,SPS7,0.027191737,Cancer clonal
3569,SPS7,0.108868385,Cancer subclonal
3576,SPS7,0.034330893,Cancer clonal
3583,SPS7,0.101644529,Cancer subclonal
3590,SPS7,0.053889884000000006,Cancer clonal
3597,SPS7,0.274820364,Cancer subclonal
3604,SPS7,0.022950147,Cancer clonal
3611,SPS7,0.282611718,Cancer subclonal
3618,SPS7,0.045849445999999995,Cancer clonal
3625,SPS7,0.21142881,Cancer subclonal
3632,SPS7,0.057235760999999996,Cancer clonal
3639,SPS7,0.298126497,Cancer subclonal
3646,SPS7,0.014276114,Cancer clonal
3653,SPS7,0.006360388000000001,Cancer subclonal
3660,SPS7,0.018509426000000002,Cancer clonal
3667,SPS7,0.007768102,Cancer subclonal
3674,SPS7,0.016269781,Cancer clonal
3681,SPS7,0.010419399000000001,Cancer subclonal
3688,SPS7,0.021082046,Cancer clonal
3695,SPS7,0.005492908,Cancer subclonal
3702,SPS7,0.016168668,Cancer clonal
3709,SPS7,0.0,Cancer subclonal
3716,SPS7,0.021984541,Cancer clonal
3723,SPS7,0.0035209290000000003,Cancer subclonal
